text,label,category_id,text_clean,class_prediction
Barang yang dikirim tidak sesuai dengan gambar dan deskripsi. Bentuknya yang kabel dan no audio out. Ngak pingin ngasih review sebenarnya cuma notif di toped annoying. Di update deskripsinya gan sayang trust konsumennya.,Layanan Pelanggan,1,barang kirim sesuai gambar deskripsi bentuk kabel no audio out ngak pingin ngasih review notif toped annoying update deskripsi gan sayang trust konsumen,Customer Service
Sudah dicoba & tidak ada kendala. semoga awet,Produk,0,coba kendala moga awet,Product
Kualitas baik langsung bisa dipakai dikomputer,Produk,0,kualitas baik langsung pakai komputer,Customer Service
Stik nya sudah bisa kok. Pelayanan nya cepat,Layanan Pelanggan,1,stik nya kok layan nya cepat,Customer Service
mantap respon sellernya cepat,Layanan Pelanggan,1,mantap respon sellernya cepat,Customer Service
berfungsi dengan baik bisa langsung plug dan play. Pengiriman cuma cepat. Terima kasih gan,Produk,0,fungsi baik langsung plug play kirim cepat terima kasih gan,Customer Service
sip dech tapi belum dicoba,Produk,0,sip dech coba,Product
Bagus murah berkualitas overall saya puas dengan pelayanan pelapak ini good job,Layanan Pelanggan,1,bagus murah kualitas overall puas layan lapak good job,Product
Kualitas sesuai deskripsi  ,Produk,0,kualitas sesuai deskripsi,Product
Barang sudah diterima dalam kondisi baik,Layanan Pelanggan,1,barang terima kondisi baik,Product
tokoh terbaik ini sih fast respon fast Pengiriman fast dan furious,Layanan Pelanggan,1,tokoh baik sih fast respon fast kirim fast furious,Customer Service
Setelah menunggu dari retur akhirnya datang juga. Baiknya sebelum kirim pastikan kondisi jam dalam keadaan baik. sehingga pembeli pun tidak dirugikan dengan waktu dan biaya retur. Update 25 Dec 2018: Baru coba dipakai hari ini sebagai hadiah natal keponakan saya ternyata jam bermasalah lagi tidak hidup kembali. Merasa malu sebagai hadiah tapi mengecewakan.,Layanan Pelanggan,1,tunggu retur datang juga baik kirim pasti kondisi jam ada baik beli rugi waktu biaya retur update 25 dec 2018 baru coba pakai hari hadiah natal keponakan nyata jam masalah hidup kembali rasa malu hadiah kecewa,Customer Service
terima kasih gan barang sudah sampai barang bagus,Layanan Pelanggan,1,terima kasih gan barang barang bagus,Customer Service
pelayanannya bagus sangat ramah,Layanan Pelanggan,1,layan bagus ramah,Customer Service
Kok Produknya ada yang retak bang Bagian L1 nya bang terima kasih,Produk,0,produk retak bang bagi l1 nya bang terima kasih,Product
Barang bagus cepat sampai namun ada sedikit masalah sana usb nya,Produk,0,barang bagus cepat masalah usb nya,Product
Thanks bos barang sudah tiba,Produk,0,thanks bos barang tiba,Product
Paket sudah diterima dengan baik Mohon maaf telat review,Pengiriman,2,paket terima baik mohon maaf telat review,Shipping/Delivery
Barang sudah sampai dengan selamat packing rapi pakai bubble wrap jadi aman. Jam sesuai ekspetasi,Pengiriman,2,barang selamat packing rapi pakai bubble wrap jadi aman jam sesuai ekspetasi,Shipping/Delivery
"Lumayanlah untuk harga seperti ini Produk sesuai iklan
Hanya sedikit terkecoh saja dengan ukuran diameternya Digambar terlihat Ukurannya Standar jam tgn dewasa Aslinya ternyata sangat kecil Cocoknya untuk anak anak SD/SMP
OVERAL OKELAH",Produk,0,lumayan untuk harga produk sesuai iklan kecoh ukur diameter gambar lihat ukur standar jam tgn dewasa asli nyata cocok untuk anak anak sd smp overal oke,Product
barangnya sampai dengan selamat Pengirimannya cepat cuma sehari. stiknya sudah dipakai buat nostalgia main harvest moon berjalan dengan sempurna haha thanks ^_^,Pengiriman,2,barang selamat kirim cepat hari stik pakai nostalgia main harvest moon jalan sempurna haha thanks,Shipping/Delivery
sesuai dengan harganya. thankyou yaaa,Produk,0,sesuai harga thankyou yaaa,Product
"Respon tokoh yang lambat tertolong JNE YES order hari Sabtu sampai Selasa malam.
Packing rapi dan aman. Kualitas oke.",Layanan Pelanggan,1,respon tokoh lambat tolong jne yes order hari sabtu selasa malam packing rapi aman kualitas oke,Customer Service
Barang bagus. Respon cepat. thanks gan,Layanan Pelanggan,1,barang bagus respon cepat thanks gan,Customer Service
barangnya mantap sesuai dengan harga. murah tak murahan,Produk,0,barang mantap sesuai harga murah murah,Product
Barang berfungsi dengan baik dan mendarat dengan selamat packing rapi belum di test aja untuk luminosnya. Thank&#39;s sukses buat sellernya,Produk,0,barang fungsi baik darat selamat packing rapi test aja untuk luminosnya thank 39 s sukses sellernya,Shipping/Delivery
sudah beli yang kedua kali alatnya berfungsi semua fast respon,Produk,0,beli dua kali alat fungsi fast respon,Customer Service
Bagus banget dehh. Walau dapet flash,Produk,0,bagus banget dehh dapet flash,Product
analognya gapake karet tombolnya sedikit keras dibandingakan stick ps2 tapi masih lumayan lah dipakai buat main pes sama emulator,Produk,0,analog gapake karet tombol keras dibandingakan stick ps2 lumayan pakai main pes emulator,Product
"Produknya belum diterima sampai saat ini. Tapi sudah ada yang centang selesai. Sangat kecewa.
Selesai transaksi otomatis dari Tokopedia. Tokopedia untuk merevisi kebijakan mereka untuk otomatis transaksi selesai bila 2 hari barang diterima. Masalahnya kalau barang tidak diterima oleh pemesan tetapi jatuh ke tangan orang lain. Maka otomatis 2 hari transaksi selesai.",Layanan Pelanggan,1,produk terima ini centang selesai kecewa selesai transaksi otomatis tokopedia tokopedia untuk revisi bijak untuk otomatis transaksi selesai 2 hari barang terima masalah barang terima mes jatuh tangan orang lain otomatis 2 hari transaksi selesai,Customer Service
Fast respon &  delivery. Belum dicoba sticknya karena msih kerja,Layanan Pelanggan,1,fast respon delivery coba sticknya msih kerja,Customer Service
saya kira agak besar diameternya gakasalah masih bisa dipakai,Produk,0,kira besar diameter gakasalah pakai,Product
cepat respon cepat kirim dan barang tepat sesuai harapansudah dicoba dan bisa langsungs digunakan sukses sll yamantap,Layanan Pelanggan,1,cepat respon cepat kirim barang tepat sesuai harapansudah coba langsungs guna sukses sll yamantap,Customer Service
Barang bagus penjual ramah packing rapi dan pengiriman cepat.,Layanan Pelanggan,1,barang bagus jual ramah packing rapi kirim cepat,Customer Service
Barang bagus dan murah rekomen,Produk,0,barang bagus murah rekomen,Customer Service
Produk original.harga murah.Layanan memuaskan.Packing sangat aman dan rapi.Seller fast respon.Pengirimannya juga cepat.Saya puas berbelanja di tokoh ini.Terima kasih,Layanan Pelanggan,1,produk original harga murah layan muas packing aman rapi seller fast respon kirim cepat saya puas belanja tokoh ini terima kasih,Customer Service
Paket sudah diterima sesuai pesanan packing rapi proses dan pengiriman cepat thanks gan 👍👍👍,Pengiriman,2,paket terima sesuai pesan packing rapi proses kirim cepat thanks gan,Shipping/Delivery
"pesanan sudah saya terima dengan baik dan sudah dicoba berfungsi dengan baik.
thanks gan",Produk,0,pesan terima baik coba fungsi baik thanks gan,Shipping/Delivery
Good rep haha stok mtec lagi bang,Layanan Pelanggan,1,good rep haha stok mtec bang,Customer Service
Jamnya bagus tapi sayang ukurannya kalo buat saya sih kecil banget,Produk,0,jam bagus sayang ukur kalo sih banget,Product
Jam tangan ini hebat! Ini memiliki banyak fitur dan tahan air yang baik untuk kegiatan luar ruangan.,Produk,0,jam tangan hebat milik fitur tahan air baik untuk giat luar ruang,Product
paket mendarat tadi sore. proses cepat dan sesuai. top markotop lah pokoknyaa!,Pengiriman,2,paket darat sore proses cepat sesuai top markotop pokoknyaa,Shipping/Delivery
cepat sesuai deskripsi &  fungsi mantap,Pengiriman,2,cepat sesuai deskripsi fungsi mantap,Shipping/Delivery
Mouse bekerja dengan baik. Tombol tombol dan scroll juga baik. terima kasih,Produk,0,mouse kerja baik tombol tombol scroll baik terima kasih,Product
Sesuai deskripsi barang mudah2an awet,Produk,0,sesuai deskripsi barang mudah2an awet,Product
sesuai pesanan lumayan lah buat main berdua sama anak.,Produk,0,sesuai pesan lumayan main dua anak,Product
Pesanan sesuai dan diterima dengan rapi belum dicoba semoga awet.thanks gan,Layanan Pelanggan,1,pesan sesuai terima rapi coba moga awet thanks gan,Customer Service
paket diterima dengan sangat baik gan baru bisa kasih ulasan soalnya baru pulang luar kota,Layanan Pelanggan,1,paket terima baik gan baru kasih ulas soal baru pulang luar kota,Customer Service
Barangnya imut2 sekale kalau untuk orang agak gemuk saya tidak sarankan□ bukan bermaksud rasis,Produk,0,barang imut2 sekale untuk orang gemuk saran maksud ras,Product
Baik recomendasi order disini aja bca bagus,Layanan Pelanggan,1,baik recomendasi order aja bca bagus,Customer Service
mantapbb work perfectly!!!!!!,Produk,0,mantapbb work perfectly,Product
Produk original kualitas mantappp dan pastinya bergaransi.,Produk,0,produk original kualitas mantappp pasti garansi,Product
100 persen work gak ada kendala. Proses sangat cepat!! Terima kasih,Produk,0,100 persen work gak kendala proses cepat terima kasih,Product
sip Barang Sudah Sampai terima kasih,Pengiriman,2,sip barang terima kasih,Product
"barang sudah sampai tapi belum dicoba mudah""an awet",Pengiriman,2,barang coba mudah an awet,Product
Penjual sangat responsif. tapi kualitas barangnya kurang memuaskan standar lah dengan harganya.,Layanan Pelanggan,1,jual responsif kualitas barang kurang muas standar harga,Customer Service
tengakiyu fast respon dan barang pesanan berfungsi dengan baik ,Layanan Pelanggan,1,tengakiyu fast respon barang pesan fungsi baik,Customer Service
over all good semoga awet terima kasih,Produk,0,over all good moga awet terima kasih,Product
terima kasih gak nunggu lama barang sampai. Oke banget,Pengiriman,2,terima kasih gak nunggu barang sampai oke banget,Shipping/Delivery
Produk baik Packing rapi Sesuai Deskripsi  ,Layanan Pelanggan,1,produk baik packing rapi sesuai deskripsi,Product
"Respon cepat
Sukses lapaknya",Layanan Pelanggan,1,respon cepat sukses lapak,Customer Service
sesuai harga pengiriman cepat.,Pengiriman,2,sesuai harga kirim cepat,Shipping/Delivery
Barang bagus jalan semua tombolnya. Pengiriman super cepat. Recommended seller.,Pengiriman,2,barang bagus jalan tombol kirim super cepat recommended seller,Shipping/Delivery
stiknya sudah sampai dengan bagus,Produk,0,stik bagus,Product
Barang sudah diterima Thanks gan tinggal dicoba.,Layanan Pelanggan,1,barang terima thanks gan tinggal coba,Customer Service
joystick nya bagus sesuai harga lah. thanks gan,Produk,0,joystick nya bagus sesuai harga lah thanks gan,Product
Arloji sangat bagus. Saya suka band yang bisa disesuaikan.,Produk,0,arloji bagus suka band sesuai,Product
thanks kakak cantikkkkk tyyyyyyyyyyyyyyyyyyy siiiiiiiiiiiiiipppppp tyyyyyyyyyyyyyyyyyyy siiiiiiiiiiiiiipppppp,Produk,0,thanks kakak cantikkkkk tyyyyyyyyyyyyyyyyyyy siiiiiiiiiiiiiipppppp tyyyyyyyyyyyyyyyyyyy siiiiiiiiiiiiiipppppp,Product
terima kasih gan. barang sudah diterima,Layanan Pelanggan,1,terima kasih gan barang terima,Customer Service
Ternyata kecil ya diameterny untuk ukuran pria. lebih cocok ke cewek sih,Produk,0,nyata ya diameterny untuk ukur pria cocok cewek sih,Product
Terima kasih barang sudah sampai tepat waktu dan sesuai pesanan dan bagus maaf telat kasih ulasan.,Pengiriman,2,terima kasih barang tepat waktu sesuai pesan bagus maaf telat kasih ulas,Shipping/Delivery
respon chat cepat barang sesuai pesanan packing rapi + bubble dan cepat sampai,Layanan Pelanggan,1,respon chat cepat barang sesuai pesan packing rapi bubble cepat,Customer Service
tkx pak barang sudah sampai respon dan proses sangat cepat ,Layanan Pelanggan,1,tkx pak barang respon proses cepat,Customer Service
sorry baru kasih ulasan. barang sudah sampai sesuai estimasi. tapi Belum dicoba semoga bagus. sukses terus!,Pengiriman,2,sorry baru kasih ulas barang sesuai estimasi coba moga bagus sukses terus,Shipping/Delivery
good-----thanks  ,Produk,0,good-----thanks,Product
Terima kasih,Layanan Pelanggan,1,terima kasih,Shipping/Delivery
Barang gak sesuai display ya. Barang yang dikirim gak ada logonya polos. thanks,Produk,0,barang gak sesuai display ya barang kirim gak logo polos thanks,Product
"barang sudah diterima dengan baik 
build qualitynya masih wajar 
semogak makin laris ",Produk,0,barang terima baik build qualitynya wajar semogak laris,Product
good Produk best seller,Produk,0,good produk best seller,Product
barang sampai dengan cepat packing rapi barangnya bagus terima kasih gan,Pengiriman,2,barang cepat packing rapi barang bagus terima kasih gan,Customer Service
barang bagus kerenn penjual ramahterima kasih,Layanan Pelanggan,1,barang bagus kerenn jual ramahterima kasih,Customer Service
cepat banget sampainya mantap,Pengiriman,2,cepat banget sampai mantap,Shipping/Delivery
sudah di tes buat maen pro evolution soccer oke,Produk,0,tes maen pro evolution soccer oke,Product
barang sesuai pesanan dan.berfungsi dengan baik terima kasih,Produk,0,barang sesuai pesan dan fungsi baik terima kasih,Product
Niceeeeee :) Dapet yang M-tech hehe,Produk,0,niceeeeee dapet m-tech hehe,Product
mantap pak boss mulus kinclong seger,Produk,0,mantap pak boss mulus kinclong seger,Product
barangnya best saler banget kakk,Produk,0,barang best saler banget kakk,Product
Sip pengiriman cepat barang sesuai dan paketnya rapi.,Pengiriman,2,sip kirim cepat barang sesuai paket rapi,Customer Service
Responnya cepat banget gan terima kasih ya ,Layanan Pelanggan,1,responnya cepat banget gan terima kasih ya,Customer Service
tengakiu boss barang da sampeeeeeeeeeeee,Layanan Pelanggan,1,tengakiu boss barang da sampeeeeeeeeeeee,Customer Service
Jamnya bagus keren. Kacanya ada motifnya gak flat. Respon seller cepat pengiriman cepat,Layanan Pelanggan,1,jam bagus keren kaca motif gak flat respon seller cepat kirim cepat,Customer Service
Wow banget dari bales aja cepat Produknya juga sesuai pokoknyaa puas banget deh,Produk,0,wow banget bales aja cepat produk sesuai pokoknyaa puas banget deh,Product
Kualitas barang bagus Hanya lebih kecil dari yang warna gold warnanya bikin klop. Thanks,Produk,0,kualitas barang bagus warna gold warna bikin klop thanks,Product
Barang oke dan bekerja dengan baik,Produk,0,barang oke kerja baik,Customer Service
Barang bagus pelayanan ok terima kasih ,Produk,0,barang bagus layan ok terima kasih,Product
lumayanlah tapi analog kiri stiknya gak berfungsi padahal sudah saya setting di emulatornya tapi analog kanannya bisa.,Produk,0,lumayan analog kiri stik gak fungsi setting emulator analog kanan bisa,Product
mantap recommended seller!,Layanan Pelanggan,1,mantap recommended seller,Customer Service
Fast response great seller great watch. Happy shopping,Layanan Pelanggan,1,fast response great seller great watch happy shopping,Customer Service
mantap ! Pelayanan cepat dan ramah ! Recommended seller !,Layanan Pelanggan,1,mantap layan cepat ramah recommended seller,Customer Service
Barang bagus dipaketkan dengan sangat rapi,Layanan Pelanggan,1,barang bagus paket rapi,Customer Service
Jamnya simpel. Enteng tidak begitu besar. Bagus.,Produk,0,jam simpel enteng besar bagus,Product
Jam tangan ini sangat pas dan terlihat lebih baik!,Produk,0,jam tangan pas lihat baik,Product
Cepat sampaiiiiiiiiiiiiiiiiiiiiiiiiii,Pengiriman,2,cepat sampaiiiiiiiiiiiiiiiiiiiiiiiiii,Shipping/Delivery
Respon seller cepat pengiriman cepat packing rapi produk bagus👍👍,Layanan Pelanggan,1,respon seller cepat kirim cepat packing rapi produk bagus,Customer Service
Packing good. Barang sesuai deskripsi daaannn semoga awet,Produk,0,packing good barang sesuai deskripsi daaannn moga awet,Product
Good seller Good seller Good seller Good seller Good seller,Layanan Pelanggan,1,good seller good seller good seller good seller good seller,Customer Service
Barang berfungsi dengan baik Thanks gan,Produk,0,barang fungsi baik thanks gan,Customer Service
Ya baguslah semoga awet,Produk,0,ya bagus moga awet,Product
mantap jamnya bos 👍👍🤘🤘,Produk,0,mantap jam bos,Product
pelayanannya cepat pesen pagi siang sampai barang bagus sesuai harga lah ,Layanan Pelanggan,1,layan cepat sen pagi siang barang bagus sesuai harga,Customer Service
stick nya lanjay di pakai di pc pelayanan okeee,Produk,0,stick nya lanjay pakai pc layan okeee,Product
"Produk persis dengan yang di gambar. Pengiriman cepat. Seller juga fast response. Recommendedlah.
Sukses terus gan",Layanan Pelanggan,1,produk persis gambar kirim cepat seller fast response recommendedlah sukses terus gan,Customer Service
Barang sesuai pesanan Pengiriman cepat respon seller mantap. Recommended Seller ,Layanan Pelanggan,1,barang sesuai pesan kirim cepat respon seller mantap recommended seller,Customer Service
barangnya bagus mulus real pics. terima kasih,Produk,0,barang bagus mulus real pics terima kasih,Product
bagus sesuai gambar Pengiriman cepat nyala tapi Belum ngerti pakenya hehehe thank u,Pengiriman,2,bagus sesuai gambar kirim cepat nyala ngerti pakenya hehehe thank u,Shipping/Delivery
Ini benar-benar dibuat dengan baik dan benar-benar bernilai uang menurut saya,Produk,0,benar buat baik benar nila uang turut,Customer Service
maap baru sempeet baless barang sudah diterimaa dengan selamat terima kasih ,Pengiriman,2,maap baru sempeet baless barang diterimaa selamat terima kasih,Shipping/Delivery
ntap recommended seller,Layanan Pelanggan,1,ntap recommended seller,Customer Service
mantap Ada manageble banwith nya cocok sudah,Produk,0,mantap manageble banwith nya cocok,Product
respon cepat barang aman di packing dengan bubble wrap cukup tebal dan barang sesuai hanya saja Judul etalase dengan deskripsi tidak sesuai di judul menyatakan menjual jam tipe MQ-38-1A namun deskripsi barang yang dijual adalah tipe MQ-24-1A hal ini sudah jelas tidak sesuai dari bentuknya. Mohon dirubah deskripsinya agar tidak terjadi kesalahpahaman saat pembelian. Thankyou.,Produk,0,respon cepat barang aman packing bubble wrap cukup tebal barang sesuai judul etalase deskripsi sesuai judul nyata jual jam tipe mq-38-1a deskripsi barang jual tipe mq-24-1a jelas sesuai bentuk mohon rubah deskripsi jadi kesalahpahaman beli thankyou,Product
Belum dicoba tapi pesanan sampai cepat banget sudah,Pengiriman,2,coba pesan cepat banget,Shipping/Delivery
Paket rapi tidak ada cacat naun pengiriman lama,Pengiriman,2,paket rapi cacat naun kirim,Customer Service
harga yang sangat murah. barang lumayan bagus. nice,Produk,0,harga murah barang lumayan bagus nice,Product
Produk sesuai deskripsi thanks,Produk,0,produk sesuai deskripsi thanks,Product
barang top markotop gan langsung cekgur di pakai nya terima kasih gan.,Produk,0,barang top markotop gan langsung cekgur pakai nya terima kasih gan,Product
Baru sampai barangnya belum lihat tapi semoga awet,Pengiriman,2,baru barang lihat moga awet,Shipping/Delivery
mantap bagus langsug dipakai,Produk,0,mantap bagus langsug pakai,Product
barang sesuai deskripsi &  pesanan. respon seller cepat Pengiriman juga cepat. puas dengan pelayanan yang diberikan seller.,Layanan Pelanggan,1,barang sesuai deskripsi pesan respon seller cepat kirim cepat puas layan beri seller,Customer Service
Pengiriman cepat respon cepat barang mantap tops,Pengiriman,2,kirim cepat respon cepat barang mantap tops,Shipping/Delivery
"barang sudah sampai mantap tapi belum sempat nyoba
terima kasih",Produk,0,barang mantap nyoba terima kasih,Product
Top berfungsi semoga awet.,Produk,0,top fungsi moga awet,Product
Sesuai pesanan  ,Layanan Pelanggan,1,sesuai pesan,Product
barang sudah tiba dengan baik tapi belum dicoba thanks,Produk,0,barang tiba baik coba thanks,Product
barang sampai dengan selamat dan sesuai dengan gambar + penjelasan,Produk,0,barang selamat sesuai gambar jelas,Shipping/Delivery
Lumayan lah buat main PES thanks,Produk,0,lumayan main pes thanks,Product
Thanks Bro. Langsung dipakai Main MOBILE LEGEND,Produk,0,thanks bro langsung pakai main mobile legend,Product
sorry gan Karena khawatir tapi barang oke sukses selalu,Produk,0,sorry gan khawatir barang oke sukses,Product
sesuai pesanan sayang respon penjual lambat mungakin karena saya beli jam yang harga murah pengiriman jne reguler lama pesan senin datang sabtu,Layanan Pelanggan,1,sesuai pesan sayang respon jual lambat mungakin beli jam harga murah kirim jne reguler pesan senin datang sabtu,Customer Service
mantap! Recommended seller. Item cepat sampai. Gue rasa tuh orang ngirimnya pakai awan kinton.,Layanan Pelanggan,1,mantap recommended seller item cepat sampai gue rasa tuh orang ngirimnya pakai awan kinton,Customer Service
Barang mantap sesuai pesanan,Produk,0,barang mantap sesuai pesan,Customer Service
Barang berfungsi baik respon dan Pengiriman cepat,Layanan Pelanggan,1,barang fungsi baik respon kirim cepat,Customer Service
barang sampai dengan selamat sentosa maaciwww yaaa  saya suka saya suka &gt;&lt;,Pengiriman,2,barang selamat sentosa maaciwww yaaa suka suka gt lt,Shipping/Delivery
Terima kasih barang sudah sampai tombol empuk enak tapi ada beberapa yang harua di teken kedalam ,Produk,0,terima kasih barang tombol empuk enak harua teken dalam,Product
terima kasih barang berfungsi dengan baik,Produk,0,terima kasih barang fungsi baik,Shipping/Delivery
Luar biasa cepat 👍🏻👍🏻👍🏻belum ditest semoga gak ada problem,Pengiriman,2,luar cepat belum ditest moga gak problem,Shipping/Delivery
Kualitas stick cukup oke agak kurang enak untuk bagian analog tapi overall cukup oke Sesuai dengan harganya packing rapi dan cepat.,Produk,0,kualitas stick cukup oke kurang enak untuk bagi analog overall cukup oke sesuai harga packing rapi cepat,Product
Produk kedua yang saya beli disini masih memuaskan produk sesuai dan 100% ori.,Produk,0,produk dua beli muas produk sesuai 100 ori,Product
Barang oke dan Pengirimannya cepat,Pengiriman,2,barang oke kirim cepat,Customer Service
Kondisi barang baik saat dicoba dapet CD Drive packing rapi,Layanan Pelanggan,1,kondisi barang baik coba dapet cd drive packing rapi,Customer Service
Respon dan pengiriman cepat barang sesuai dengan deskripsi dan berfungsi,Layanan Pelanggan,1,respon kirim cepat barang sesuai deskripsi fungsi,Customer Service
thanks for 25k flash sale Tokopedia thank you for patient dan very kind seller. Recommended,Layanan Pelanggan,1,thanks for 25k flash sale tokopedia thank you for patient very kind seller recommended,Customer Service
Barang sesuai pesanan. Hanya ada sedikit cacat pada tombol. tapi tidak masalah,Produk,0,barang sesuai pesan cacat tombol masalah,Product
Good sesuai dengan deskripsi ,Produk,0,good sesuai deskripsi,Product
Barang sesuai harapan thanks ,Produk,0,barang sesuai harap thanks,Product
sesuai semoga awet,Produk,0,sesuai moga awet,Product
Sesuai dengan Produk yang di tampilkan,Produk,0,sesuai produk tampil,Product
ok ok kkkkkkkkkkkkkkkkkkkkkkkkkk,Produk,0,ok ok kkkkkkkkkkkkkkkkkkkkkkkkkk,Product
Saya suka jam tangan ini. Sangat tipis dan bergaya,Produk,0,suka jam tangan ini tipis gaya,Product
Fast delivery price to qualithanks very oke  ,Pengiriman,2,fast delivery price to qualithanks very oke,Shipping/Delivery
Stick lancar gada kendala mantap,Produk,0,stick lancar gada kendala mantap,Product
Oke sudah diterima semoga lancar dan awettt,Pengiriman,2,oke terima moga lancar awettt,Shipping/Delivery
respon cepat lancar terus,Layanan Pelanggan,1,respon cepat lancar terus,Customer Service
Barang bagus sesuai deskripsi mungakin ke depannya pelayanan bisa ditingakatkan lagi,Layanan Pelanggan,1,barang bagus sesuai deskripsi mungakin depan layan ditingakatkan,Customer Service
Produk baik asli. Jamnya kecil cocok buat Adek saya. Recommended,Produk,0,produk baik asli jam cocok adek saya recommended,Product
mantap rapi barang cakebbb,Layanan Pelanggan,1,mantap rapi barang cakebbb,Customer Service
semoga awettttttttttttttt,Produk,0,moga awettttttttttttttt,Product
berfungsi dengan baik. thanks,Produk,0,fungsi baik thanks,Product
barang mantappp. pengirimN cepattrtr,Pengiriman,2,barang mantappp pengirimn cepattrtr,Shipping/Delivery
Sesuai ekspetasi barang bagus kualitas alus  Istri seneng dikasih ini cuma gak jadi kejutan soalnya yang nerima paket yang bersangakutan 😁,Produk,0,sesuai ekspetasi barang bagus kualitas alus istri neng kasih gak jadi kejut soal nerima paket bersangakutan,Product
Barang sesuai gambar garansi 1 tahun. Saya kira buat cowok. Maaf dismiss. All Good.,Produk,0,barang sesuai gambar garansi 1 tahun kira cowok maaf dismiss all good,Product
sip mantap bosss. maaf telat review,Produk,0,sip mantap bosss maaf telat review,Product
Sip barang sudah sampai. Kualitas oke. thanks,Produk,0,sip barang sampai kualitas oke thanks,Product
barang Sesuai pengiriman juga cepat thanks,Pengiriman,2,barang sesuai kirim cepat thanks,Shipping/Delivery
Barang sudah sampai dan Produk bekerja dengan baik Thanks semoga sukses gan,Produk,0,barang produk kerja baik thanks moga sukses gan,Customer Service
Produk sudah sampai packing rapi,Produk,0,produk packing rapi,Product
Barang sesuai. terima kasih,Produk,0,barang sesuai terima kasih,Customer Service
Pengiriman cepat barang ok dan berfungsi dengan baik tiba dengan di tempat dengan selamat. thank youu,Pengiriman,2,kirim cepat barang ok fungsi baik tiba tempat selamat thank youu,Shipping/Delivery
Product bagus tombol2 empuk Respon cepat Pengiriman cepat &  packing bagus Recommended seller.,Produk,0,product bagus tombol2 empuk respon cepat kirim cepat packing bagus recommended seller,Product
Barang sesuai dengan fotonya,Produk,0,barang sesuai foto,Product
Barang sudah diterima dengan baik. Sesuai gambar juga. Sama persis dengan jam lama saya. Thank you 😊😊,Produk,0,barang terima baik sesuai gambar juga persis jam saya thank you,Product
"Quick response.
Sayangnya Produk yang diterima merk nya bukan M Tech.
Tapi tidak apa karena Produk memuaskan.
Thanks.",Layanan Pelanggan,1,quick response sayang produk terima merk nya m tech produk muas thanks,Customer Service
"respon cepat
prosescepat
barang sesuai deskripsi
thanks",Layanan Pelanggan,1,respon cepat prosescepat barang sesuai deskripsi thanks,Customer Service
Pengiriman nya lamban jadi ngak kepake buat natal sudah,Pengiriman,2,kirim nya lamban jadi ngak kepake natal,Shipping/Delivery
good nice downlod drivernya di mana ya gan? ane gak ada slot dvd drive soalnya,Produk,0,good nice downlod drivernya ya gan ane gak slot dvd drive soal,Product
barang sangat bagus dan memuaskan,Produk,0,barang bagus muas,Product
cepat tepat akurat.terima kasih,Pengiriman,2,cepat tepat akurat terima kasih,Shipping/Delivery
Fast respon Pengiriman cepat. Recomendeed seller,Layanan Pelanggan,1,fast respon kirim cepat recomendeed seller,Customer Service
mantap semoga awet bro,Produk,0,mantap moga awet bro,Product
respon cepat langsung kirim hari itu juga barang sudah ditester lancar thanks gan,Layanan Pelanggan,1,respon cepat langsung kirim hari barang tester lancar thanks gan,Customer Service
ntap   ,Produk,0,ntap,Product
. RECOMMENDED SELLER   ,Layanan Pelanggan,1,recommended seller,Customer Service
barang bagus tapi cuman Pengirimannya aja yang diperbaiki langsung,Pengiriman,2,barang bagus cuman kirim aja baik langsung,Product
barangnya sesuai orangnya ramah. recommended seller,Layanan Pelanggan,1,barang sesuai orang ramah recommended seller,Customer Service
Pengiriman cepat packing rapi kualitas produk baik. bagus,Produk,0,kirim cepat packing rapi kualitas produk baik bagus,Product
mantap sesuai harganya,Produk,0,mantap sesuai harga,Product
Mantal jaya gan respon &  pengiriman sesuai. thanks,Pengiriman,2,mantal jaya gan respon kirim sesuai thanks,Shipping/Delivery
nice. Recommended seller,Layanan Pelanggan,1,nice recommended seller,Customer Service
Baru pakai 3minggu  sudah rusak euyy,Produk,0,baru pakai 3minggu rusak euyy,Product
mantap gan barangnya bagus sesuai deskripsi terima kasih,Produk,0,mantap gan barang bagus sesuai deskripsi terima kasih,Product
Barang oke dan cepat sampai.,Pengiriman,2,barang oke cepat sampai,Shipping/Delivery
siyap thank you gan belum dicoba sih,Produk,0,siyap thank you gan coba sih,Product
Very veryy fast respon. pesanan cepat sampai ,Layanan Pelanggan,1,very veryy fast respon pesan cepat,Customer Service
Bgs sesuai harga ternyata barangnya mungil/ kecil sekali. tapi bfs fungsinya.,Produk,0,bgs sesuai harga nyata barang mungil sekali bfs fungsi,Product
sudah nyampe gan terima kasih nyaman banget dipakai nya,Produk,0,nyampe gan terima kasih nyaman banget pakai nya,Product
sip barangnya oke sorry telat,Produk,0,sip barang oke sorry telat,Product
Barang sampai dengan cepat sesuai pesanan dan lancar dipakai packangingnya biasa aja sih tapi mulus terima kasih gan!,Produk,0,barang cepat sesuai pesan lancar pakai packangingnya aja sih mulus terima kasih gan,Product
Terima kasih Kak Jam sudah mendarat dengan selamat  ,Pengiriman,2,terima kasih kak jam darat selamat,Shipping/Delivery
pengirimannya tepat waktu banget kakk terima kasih,Pengiriman,2,kirim tepat waktu banget kakk terima kasih,Shipping/Delivery
